Image,Quality,CompressedSize
lenna.png,0,98773
lenna.png,5,110011
lenna.png,10,124348
lenna.png,15,137262
lenna.png,20,148388
lenna.png,25,158770
lenna.png,30,168813
lenna.png,35,178280
lenna.png,40,186228
lenna.png,45,195470
lenna.png,50,203616
lenna.png,55,210893
lenna.png,60,218854
lenna.png,65,226364
lenna.png,70,233272
lenna.png,75,240383
lenna.png,80,246486
lenna.png,85,254202
lenna.png,90,259477
lenna.png,95,267687
lenna.png,100,270801
lenna_bw_dithering.png,0,98941
lenna_bw_dithering.png,5,173376
lenna_bw_dithering.png,10,306550
lenna_bw_dithering.png,15,400506
lenna_bw_dithering.png,20,472075
lenna_bw_dithering.png,25,532374
lenna_bw_dithering.png,30,579297
lenna_bw_dithering.png,35,612625
lenna_bw_dithering.png,40,636005
lenna_bw_dithering.png,45,662725
lenna_bw_dithering.png,50,678345
lenna_bw_dithering.png,55,696545
lenna_bw_dithering.png,60,709633
lenna_bw_dithering.png,65,726033
lenna_bw_dithering.png,70,735181
lenna_bw_dithering.png,75,750921
lenna_bw_dithering.png,80,760125
lenna_bw_dithering.png,85,766449
lenna_bw_dithering.png,90,773597
lenna_bw_dithering.png,95,778653
lenna_bw_dithering.png,100,781917
lenna_bw_no_dithering.png,0,98901
lenna_bw_no_dithering.png,5,155208
lenna_bw_no_dithering.png,10,324777
lenna_bw_no_dithering.png,15,484028
lenna_bw_no_dithering.png,20,595132
lenna_bw_no_dithering.png,25,674733
lenna_bw_no_dithering.png,30,731200
lenna_bw_no_dithering.png,35,774393
lenna_bw_no_dithering.png,40,804713
lenna_bw_no_dithering.png,45,830578
lenna_bw_no_dithering.png,50,850877
lenna_bw_no_dithering.png,55,872998
lenna_bw_no_dithering.png,60,885614
lenna_bw_no_dithering.png,65,899031
lenna_bw_no_dithering.png,70,908751
lenna_bw_no_dithering.png,75,921797
lenna_bw_no_dithering.png,80,929442
lenna_bw_no_dithering.png,85,935945
lenna_bw_no_dithering.png,90,941512
lenna_bw_no_dithering.png,95,947875
lenna_bw_no_dithering.png,100,951687
lenna_grayscale.png,0,98773
lenna_grayscale.png,5,109983
lenna_grayscale.png,10,123457
lenna_grayscale.png,15,135013
lenna_grayscale.png,20,144830
lenna_grayscale.png,25,153980
lenna_grayscale.png,30,162647
lenna_grayscale.png,35,170706
lenna_grayscale.png,40,177744
lenna_grayscale.png,45,185422
lenna_grayscale.png,50,192420
lenna_grayscale.png,55,198764
lenna_grayscale.png,60,205906
lenna_grayscale.png,65,212395
lenna_grayscale.png,70,218344
lenna_grayscale.png,75,224076
lenna_grayscale.png,80,229275
lenna_grayscale.png,85,236364
lenna_grayscale.png,90,240585
lenna_grayscale.png,95,247703
lenna_grayscale.png,100,250037
